符合條件商品
資料日期：2021年 12月 24日
策略,	02強勢股
499	,6278.TW,台表科,119.5,-0.83,2196,-0.83
500	,6576.TW,逸達,120,-0.83,625,-0.83
501	,6182.TW,合晶,82.5,-0.84,17025,-0.84
502	,6187.TW,萬潤,116,-0.85,857,-0.85
503	,5351.TW,鈺創,92.4,-0.86,32093,-0.86
504	,6223.TW,旺矽,115,-0.86,748,-0.86
505	,1616.TW,億泰,11.35,-0.87,785,-0.87
506	,3704.TW,合勤控,34.05,-0.87,5670,-0.87
507	,2390.TW,云辰,22.4,-0.88,1372,-0.88
508	,6589.TW,台康生技,112,-0.88,574,-0.88
509	,3294.TW,英濟,33.45,-0.89,12126,-0.89
510	,1785.TW,光洋科,49.4,-0.9,2850,-0.9
511	,9958.TW,世紀鋼,110.5,-0.9,1752,-0.9
512	,1517.TW,利奇,26.95,-0.92,1079,-0.92
513	,2034.TW,允強,32.3,-0.92,1169,-0.92
514	,2007.TW,燁興,21.4,-0.93,1454,-0.93
515	,3356.TW,奇偶,31.7,-0.94,756,-0.94
516	,6792.TW,詠業,208,-0.95,863,-0.95
517	,6756.TW,威鋒電子,515,-0.96,698,-0.96
518	,6237.TW,驊訊,102,-0.97,1664,-0.97
519	,2017.TW,官田鋼,20.25,-0.98,1067,-0.98
520	,2338.TW,光罩,99,-1,4824,-1
521	,2342.TW,茂矽,49.7,-1,11739,-1
522	,2457.TW,飛宏,49.4,-1,69041,-1
523	,6509.TW,聚和,69.3,-1,6825,-1
524	,2484.TW,希華,39.3,-1.01,2152,-1.01
525	,6229.TW,研通,43.9,-1.01,852,-1.01
526	,1463.TW,強盛,14.4,-1.03,734,-1.03
527	,2025.TW,千興,5.75,-1.03,912,-1.03
528	,5328.TW,華容,14.45,-1.03,564,-1.03
529	,1708.TW,東鹼,33,-1.05,2136,-1.05
530	,2022.TW,聚亨,14.15,-1.05,2547,-1.05
531	,8046.TW,南電,567,-1.05,2682,-1.05
532	,3455.TW,由田,74.3,-1.07,536,-1.07
533	,3083.TW,網龍,55,-1.08,1353,-1.08
534	,3583.TW,辛耘,81.7,-1.09,652,-1.09
535	,9940.TW,信義,36.2,-1.09,530,-1.09
536	,2375.TW,凱美,97.6,-1.11,2141,-1.11
537	,3221.TW,台嘉碩,40.2,-1.11,1891,-1.11
538	,5475.TW,德宏,35.6,-1.11,9674,-1.11
539	,3016.TW,嘉晶,132.5,-1.12,3560,-1.12
540	,8081.TW,致新,257,-1.15,609,-1.15
541	,1529.TW,樂士,21.35,-1.16,908,-1.16
542	,2027.TW,大成鋼,46.8,-1.16,13149,-1.16
543	,8415.TW,大國鋼,38.4,-1.16,4310,-1.16
544	,1459.TW,聯發,12.7,-1.17,502,-1.17
545	,3019.TW,亞光,92.7,-1.17,2459,-1.17
546	,3491.TW,昇達科,211,-1.17,1710,-1.17
547	,4989.TW,榮科,46.3,-1.17,1252,-1.17
548	,6190.TW,萬泰科,42.4,-1.17,44040,-1.17
549	,2421.TW,建準,42,-1.18,1496,-1.18
550	,3028.TW,增你強,33.3,-1.19,1011,-1.19
551	,2430.TW,燦坤,37.05,-1.2,595,-1.2
552	,2314.TW,台揚,73.4,-1.21,1776,-1.21
553	,2387.TW,精元,44.45,-1.22,997,-1.22
554	,6126.TW,信音,28.25,-1.22,1566,-1.22
555	,3504.TW,揚明光,119,-1.24,835,-1.24
556	,3630.TW,新鉅科,39.55,-1.25,524,-1.25
557	,1612.TW,宏泰,27.3,-1.27,13581,-1.27
558	,4157.TW,太景*-KY,15.4,-1.28,881,-1.28
559	,4976.TW,佳凌,68.8,-1.29,1092,-1.29
560	,3376.TW,新日興,91,-1.3,649,-1.3
561	,5371.TW,中光電,83.8,-1.3,2676,-1.3
562	,8096.TW,擎亞,15.2,-1.3,1846,-1.3
563	,3057.TW,喬鼎,15.1,-1.31,703,-1.31
564	,2413.TW,環科,22.4,-1.32,703,-1.32
565	,2612.TW,中航,59.9,-1.32,868,-1.32
566	,2331.TW,精英,22.2,-1.33,2506,-1.33
567	,5607.TW,遠雄港,66.1,-1.34,1304,-1.34
568	,2023.TW,燁輝,25.4,-1.36,10388,-1.36
569	,5014.TW,建錩,21.7,-1.36,1130,-1.36
570	,4743.TW,合一,287,-1.37,1541,-1.37
571	,6603.TW,富強鑫,18.05,-1.37,1345,-1.37
572	,3317.TW,尼克森,78.6,-1.38,523,-1.38
573	,4919.TW,新唐,143,-1.38,8236,-1.38
574	,2379.TW,瑞昱,564,-1.4,933,-1.4
575	,2406.TW,國碩,35.1,-1.4,6191,-1.4
576	,3018.TW,同開,20.9,-1.42,1716,-1.42
577	,3062.TW,建漢,30.7,-1.44,13206,-1.44
578	,3338.TW,泰碩,54.7,-1.44,3481,-1.44
579	,6411.TW,晶焱,239,-1.44,2969,-1.44
580	,3707.TW,漢磊,136,-1.45,4759,-1.45
581	,8033.TW,雷虎,17.05,-1.45,643,-1.45
582	,2009.TW,第一銅,43.75,-1.46,1582,-1.46
583	,2439.TW,美律,93.5,-1.48,559,-1.48
584	,3207.TW,耀勝,23.25,-1.48,1567,-1.48
585	,3034.TW,聯詠,530,-1.49,3987,-1.49
586	,6672.TW,騰輝電子-KY,132.5,-1.49,1211,-1.49
587	,2358.TW,廷鑫,22.95,-1.5,2346,-1.5
588	,2605.TW,新興,29.55,-1.5,5791,-1.5
589	,3047.TW,訊舟,13.05,-1.51,4118,-1.51
590	,1795.TW,美時,96.2,-1.54,2408,-1.54
591	,4147.TW,中裕,70.4,-1.54,630,-1.54
592	,6108.TW,競國,22.25,-1.55,2200,-1.55
593	,2028.TW,威致,44.2,-1.56,1977,-1.56
594	,4721.TW,美琪瑪,157.5,-1.56,5468,-1.56
595	,6494.TW,九齊,155.5,-1.58,517,-1.58
596	,2606.TW,裕民,62,-1.59,12164,-1.59
597	,2383.TW,台光電,276.5,-1.6,1754,-1.6
598	,2030.TW,彰源,30.45,-1.62,3541,-1.62
599	,3587.TW,閎康,152,-1.62,761,-1.62
600	,4994.TW,傳奇,60.4,-1.63,873,-1.63
601	,2031.TW,新光鋼,59,-1.67,2021,-1.67
602	,2399.TW,映泰,26.55,-1.67,19421,-1.67
603	,3114.TW,好德,29.1,-1.69,536,-1.69
604	,3588.TW,通嘉,145,-1.69,1316,-1.69
605	,3419.TW,譁裕,25.6,-1.73,3095,-1.73
606	,2108.TW,南帝,84.6,-1.74,3551,-1.74
607	,6120.TW,達運,14.1,-1.74,5240,-1.74
608	,2495.TW,普安,19.65,-1.75,7334,-1.75
609	,3545.TW,敦泰,167.5,-1.76,5223,-1.76
610	,2347.TW,聯強,66.5,-1.77,6935,-1.77
611	,2492.TW,華新科,166,-1.78,2720,-1.78
612	,8261.TW,富鼎,108.5,-1.81,1741,-1.81
613	,3042.TW,晶技,106.5,-1.84,5501,-1.84
614	,3025.TW,星通,23.6,-1.87,593,-1.87
615	,4934.TW,太極,34.15,-1.87,2114,-1.87
616	,5388.TW,中磊,68.4,-1.87,1779,-1.87
617	,3625.TW,西勝,26.15,-1.88,1745,-1.88
618	,3033.TW,威健,31.1,-1.89,10389,-1.89
619	,9962.TW,有益,18.15,-1.89,1261,-1.89
620	,2388.TW,威盛,87.7,-1.9,16140,-1.9
621	,6244.TW,茂迪,36,-1.91,6309,-1.91
622	,3379.TW,彬台,12.75,-1.92,511,-1.92
623	,3546.TW,宇峻,92,-1.92,1476,-1.92
624	,3675.TW,德微,274.5,-1.96,1789,-1.96
625	,6535.TW,順藥,37.4,-1.97,794,-1.97
626	,5457.TW,宣德,79,-1.99,1555,-1.99
627	,8044.TW,網家,123,-1.99,797,-1.99
628	,4119.TW,旭富,82.8,-2.01,675,-2.01
629	,6541.TW,泰福-KY,63.5,-2.01,905,-2.01
630	,2444.TW,兆勁,14.55,-2.02,1124,-2.02
631	,3483.TW,力致,90.7,-2.05,1969,-2.05
632	,3006.TW,晶豪科,165.5,-2.07,7573,-2.07
633	,6127.TW,九豪,28.15,-2.09,1250,-2.09
634	,2332.TW,友訊,18.6,-2.11,2705,-2.11
635	,1783.TW,和康生,50.9,-2.12,633,-2.12
636	,2431.TW,聯昌,13.85,-2.12,1719,-2.12
637	,3128.TW,昇銳,22.9,-2.14,1769,-2.14
638	,3511.TW,矽瑪,40.7,-2.16,563,-2.16
639	,6443.TW,元晶,40.7,-2.16,22952,-2.16
640	,6213.TW,聯茂,135,-2.17,5368,-2.17
641	,4946.TW,辣椒,58,-2.19,533,-2.19
642	,6180.TW,橘子,66.8,-2.2,4885,-2.2
643	,3003.TW,健和興,93,-2.21,2377,-2.21
644	,3607.TW,谷崧,17.7,-2.21,7120,-2.21
645	,3552.TW,同致,176.5,-2.22,1585,-2.22
646	,2014.TW,中鴻,42.55,-2.3,26407,-2.3
647	,3694.TW,海華,27.65,-2.3,1830,-2.3
648	,3362.TW,先進光,80.1,-2.32,2258,-2.32
649	,6224.TW,聚鼎,126,-2.33,611,-2.33
650	,3605.TW,宏致,49.7,-2.36,5034,-2.36
651	,2010.TW,春源,24.6,-2.38,5298,-2.38
652	,6164.TW,華興,16.1,-2.42,2508,-2.42
653	,8255.TW,朋程,242,-2.42,10662,-2.42
654	,8201.TW,無敵,17.75,-2.47,29513,-2.47
655	,5488.TW,松普,9.85,-2.48,1272,-2.48
656	,2103.TW,台橡,40.5,-2.53,10875,-2.53
657	,3653.TW,健策,402.5,-2.54,726,-2.54
658	,4123.TW,晟德,61,-2.56,2792,-2.56
659	,4915.TW,致伸,56.9,-2.57,13233,-2.57
660	,6477.TW,安集,48.85,-2.69,3632,-2.69
661	,3645.TW,達邁,42.5,-2.75,523,-2.75
662	,5450.TW,南良,19.45,-2.75,618,-2.75
663	,6806.TW,森崴能源,105,-2.78,816,-2.78
664	,3661.TW,世芯-KY,991,-2.84,1654,-2.84
665	,6138.TW,茂達,254.5,-2.86,6282,-2.86
666	,6185.TW,幃翔,15.25,-2.87,1757,-2.87
667	,4130.TW,健亞,25.25,-2.88,592,-2.88
668	,2013.TW,中鋼構,60.2,-2.9,3897,-2.9
669	,2029.TW,盛餘,33.25,-2.92,1524,-2.92
670	,5309.TW,系統電,39.95,-2.92,3673,-2.92
671	,2380.TW,虹光,16.5,-2.94,3237,-2.94
672	,6668.TW,中揚光,56.1,-2.94,763,-2.94
673	,8074.TW,鉅橡,21.1,-2.99,1900,-2.99
674	,3060.TW,銘異,25.6,-3.03,3567,-3.03
675	,6167.TW,久正,15.6,-3.11,7242,-3.11
676	,2312.TW,金寶,16.2,-3.28,147762,-3.28
677	,3305.TW,昇貿,82.2,-3.29,27552,-3.29
678	,2462.TW,良得電,29.2,-3.31,1239,-3.31
679	,6698.TW,旭暉應材,49.3,-3.33,1554,-3.33
680	,3518.TW,柏騰,24.35,-3.37,1405,-3.37
681	,2438.TW,翔耀,15.7,-3.38,597,-3.38
682	,1611.TW,中電,21.35,-3.39,20676,-3.39
683	,6104.TW,創惟,199,-3.4,12880,-3.4
684	,5211.TW,蒙恬,21.15,-3.42,528,-3.42
685	,8089.TW,康全電訊,31.6,-3.51,597,-3.51
686	,2929.TW,淘帝-KY,12.35,-3.52,551,-3.52
687	,3597.TW,映興,31.35,-3.54,648,-3.54
688	,2481.TW,強茂,107.5,-3.59,21046,-3.59
689	,5425.TW,台半,78.9,-3.66,19211,-3.66
690	,8111.TW,立碁,29.95,-3.7,7940,-3.7
691	,5452.TW,佶優,22.8,-3.8,3449,-3.8
692	,6598.TW,ABC-KY,42.4,-3.85,511,-3.85
693	,3310.TW,佳穎,33.55,-3.87,1275,-3.87
694	,3217.TW,優群,139,-4.14,5907,-4.14
695	,6457.TW,紘康,196,-4.16,1113,-4.16
696	,6235.TW,華孚,33,-4.35,17821,-4.35
697	,6196.TW,帆宣,158.5,-4.52,8899,-4.52
698	,4927.TW,泰鼎-KY,123,-4.65,15732,-4.65
699	,5245.TW,智晶,102.5,-4.65,861,-4.65
700	,8431.TW,匯鑽科,68.7,-4.72,1681,-4.72
701	,3689.TW,湧德,50.4,-4.73,26729,-4.73
702	,1808.TW,潤隆,54.2,-4.91,1520,-4.91
703	,6111.TW,大宇資,96,-4.95,8238,-4.95
704	,4726.TW,永昕,38,-5,1452,-5
705	,5383.TW,金利,46.7,-5.37,1512,-5.37
706	,2465.TW,麗臺,85.8,-5.92,27047,-5.92
707	,8478.TW,東哥遊艇,155.5,-6.61,2540,-6.61
708	,6492.TW,生華科,105,-6.67,1586,-6.67
709	,3167.TW,大量,104,-6.73,6356,-6.73
710	,1432.TW,大魯閣,11.85,-7.06,1778,-7.06
711	,5386.TW,青雲,53.6,-8.22,2805,-8.22
712	,3046.TW,建碁,47,-8.74,2375,-8.74
713	,5251.TW,天鉞電,19.2,-9.86,3905,-9.86
