符合條件商品
資料日期：2021年 12月 24日
策略,	01量放大股
491	,4989.TW,榮科,46.3,-1.17,1252,0.37
492	,2324.TW,仁寶,24.05,1.05,6456,0.37
493	,2462.TW,良得電,29.2,-3.31,1239,0.36
494	,5457.TW,宣德,79,-1.99,1555,0.35
495	,3483.TW,力致,90.7,-2.05,1969,0.35
496	,5386.TW,青雲,53.6,-8.22,2805,0.35
497	,8112.TW,至上,47.2,0.11,2186,0.33
498	,2458.TW,義隆,169,0,1095,0.33
499	,3016.TW,嘉晶,132.5,-1.12,3560,0.33
500	,2356.TW,英業達,25,0.6,2111,0.33
501	,2457.TW,飛宏,49.4,-1,69041,0.33
502	,4919.TW,新唐,143,-1.38,8236,0.32
503	,6477.TW,安集,48.85,-2.69,3632,0.32
504	,4739.TW,康普,147,-0.34,6776,0.31
505	,4721.TW,美琪瑪,157.5,-1.56,5468,0.31
506	,2495.TW,普安,19.65,-1.75,7334,0.31
507	,2358.TW,廷鑫,22.95,-1.5,2346,0.3
508	,4915.TW,致伸,56.9,-2.57,13233,0.3
509	,6488.TW,環球晶,846,0,1501,0.28
510	,2542.TW,興富發,46.2,0.33,3974,0.27
511	,6509.TW,聚和,69.3,-1,6825,0.26
512	,2489.TW,瑞軒,17.35,-0.57,2237,0.25
513	,1102.TW,亞泥,44.25,-0.11,2659,0.25
514	,2399.TW,映泰,26.55,-1.67,19421,0.23
515	,3489.TW,森寶,12.15,2.97,1422,0.23
516	,2809.TW,京城銀,40.35,0,2840,0.22
517	,6185.TW,幃翔,15.25,-2.87,1757,0.2
518	,6133.TW,金橋,11.2,0.9,2284,0.2
519	,8096.TW,擎亞,15.2,-1.3,1846,0.17
520	,1709.TW,和益,22.55,1.12,1675,0.16
521	,2431.TW,聯昌,13.85,-2.12,1719,0.13
